Technique,Size,Assignments,time_elapsed
,,,
BT,3,13,0.001001596
,,,
BT with MCV,3,16,0.002996206
,,,
FC,3,8,0.001019955
,,,
FC with MCV,3,9,0.000999928
,,,
AC,3,9,0.002976656
,,,
AC with MCV,3,8,0.000999928
,,,
BT,3,13,0.001015186
,,,
BT with MCV,3,13,0.002988577
,,,
FC,3,8,0.000994205
,,,
FC with MCV,3,8,0.001001358
,,,
AC,3,8,0.002996922
,,,
AC with MCV,3,8,0.002996206
,,,
BT,3,10,0.001014709
,,,
BT with MCV,3,10,0.001980782
,,,
FC,3,7,0.001015902
,,,
FC with MCV,3,7,0.000985384
,,,
AC,3,7,0.002998352
,,,
AC with MCV,3,7,0.001996279
,,,
BT,4,75,0.012989998
,,,
BT with MCV,4,36,0.003994703
,,,
FC,4,24,0.007995844
,,,
FC with MCV,4,15,0.00299859
,,,
AC,4,27,0.023988247
,,,
AC with MCV,4,14,0.009002924
,,,
BT,4,188,0.032982111
,,,
BT with MCV,4,188,0.030983686
,,,
FC,4,49,0.016988516
,,,
FC with MCV,4,49,0.016993523
,,,
AC,4,16,0.006992102
,,,
AC with MCV,4,16,0.01299262
,,,
BT,4,385,0.065961361
,,,
BT with MCV,4,191,0.033980131
,,,
FC,4,118,0.030983925
,,,
FC with MCV,4,58,0.013993263
,,,
AC,4,35,0.015987873
,,,
AC with MCV,4,15,0.006995201
,,,
BT,5,175,0.042976141
,,,
BT with MCV,5,174,0.034978628
,,,
FC,5,38,0.012994766
,,,
FC with MCV,5,37,0.007993221
,,,
AC,5,23,0.026984215
,,,
AC with MCV,5,22,0.022986889
,,,
BT,5,10066,1.822950602
,,,
BT with MCV,5,4328,0.7595644
,,,
FC,5,597,0.160908937
,,,
FC with MCV,5,707,0.172898769
,,,
AC,5,32,0.050972939
,,,
AC with MCV,5,35,0.046970844
,,,
BT,5,4270,0.969445229
,,,
BT with MCV,5,4139,0.793540716
,,,
FC,5,744,0.154910564
,,,
FC with MCV,5,202,0.05496788
,,,
AC,5,40,0.043977261
,,,
AC with MCV,5,43,0.037976265
,,,
BT,6,74,0.011994839
,,,
BT with MCV,6,64,0.013989687
,,,
FC,6,36,0.010015011
,,,
FC with MCV,6,26,0.004976749
,,,
AC,6,33,0.076955795
,,,
AC with MCV,6,23,0.046972513
,,,
BT,6,1273,0.266846657
,,,
BT with MCV,6,2351,0.487740517
,,,
FC,6,220,0.08193469
,,,
FC with MCV,6,340,0.09494257
,,,
AC,6,39,0.063963413
,,,
AC with MCV,6,44,0.08095479
,,,
BT,6,403,0.094961405
,,,
BT with MCV,6,339,0.086934566
,,,
FC,6,104,0.038977861
,,,
FC with MCV,6,82,0.023986578
,,,
AC,6,38,0.074338675
,,,
AC with MCV,6,32,0.05326438
,,,
BT,7,604,0.184894562
,,,
BT with MCV,7,791,0.216889858
,,,
FC,7,149,0.051956892
,,,
FC with MCV,7,147,0.062977791
,,,
AC,7,45,0.140902042
,,,
AC with MCV,7,44,0.119931698
,,,
BT,7,278,0.095942736
,,,
BT with MCV,7,178,0.058965921
,,,
FC,7,57,0.016004324
,,,
FC with MCV,7,50,0.015978336
,,,
AC,7,45,0.181893826
,,,
AC with MCV,7,32,0.118821859
,,,
BT,7,7593,2.247710228
,,,
BT with MCV,7,3604,1.051394463
,,,
FC,7,1350,0.467751503
,,,
FC with MCV,7,1073,0.486119747
,,,
AC,7,46,0.144919157
,,,
AC with MCV,7,41,0.140919447
,,,
BT,8,9306,3.347077847
,,,
BT with MCV,8,5921,2.221558571
,,,
FC,8,299,0.18664217
,,,
FC with MCV,8,666,0.348397255
,,,
AC,8,63,0.346824646
,,,
AC with MCV,8,87,0.432751417
,,,
BT,8,3212,1.049343348
,,,
BT with MCV,8,1779,0.621706009
,,,
FC,8,226,0.100752831
,,,
FC with MCV,8,317,0.154944897
,,,
AC,8,63,0.326182604
,,,
AC with MCV,8,63,0.360795021
,,,
BT,8,1715,0.705614328
,,,
BT with MCV,8,3283,1.223297358
,,,
FC,8,284,0.164884806
,,,
FC with MCV,8,300,0.129410744
,,,
AC,8,65,0.357797146
,,,
AC with MCV,8,50,0.264868021
,,,
BT,9,2741,1.888914108
,,,
BT with MCV,9,11560,5.849909306
,,,
FC,9,391,0.240885019
,,,
FC with MCV,9,1503,1.017394781
,,,
AC,9,85,0.733659983
,,,
AC with MCV,9,127,0.747571945
,,,
BT,9,1571,0.678617477
,,,
BT with MCV,9,11811,4.773250103
,,,
FC,9,291,0.142916679
,,,
FC with MCV,9,2198,1.261276245
,,,
AC,9,76,0.666615486
,,,
AC with MCV,9,63,0.510727644
,,,
BT,9,88396,41.21631289
,,,
BT with MCV,9,99338,48.23230219
,,,
FC,9,8250,4.77325654
,,,
FC with MCV,9,10260,5.436855316
,,,
AC,9,76,0.678096294
,,,
AC with MCV,9,108,0.78057456
