Technique,Size,Assignments,time_elapsed
BT,9,2741,1.8889141082763672
BT with MCV,9,11560,5.84990930557251
FC,9,391,0.24088501930236816
FC with MCV,9,1503,1.017394781112671
AC,9,85,0.7336599826812744
AC with MCV,9,127,0.7475719451904297
BT,9,1571,0.6786174774169922
BT with MCV,9,11811,4.773250102996826
FC,9,291,0.14291667938232422
FC with MCV,9,2198,1.2612762451171875
AC,9,76,0.6666154861450195
AC with MCV,9,63,0.5107276439666748
BT,9,88396,41.216312885284424
BT with MCV,9,99338,48.23230218887329
FC,9,8250,4.773256540298462
FC with MCV,9,10260,5.436855316162109
AC,9,76,0.6780962944030762
AC with MCV,9,108,0.7805745601654053
