Technique,Size,Assignments,time_elapsed
BT,2,6,0.0
BT,2,4,0.0010013580322265625
BT,2,42,0.0010149478912353516
BT,2,5,0.001001119613647461
BT,3,108,0.0009989738464355469
BT,3,135,0.001992940902709961
BT,3,15,0.0
BT,3,39,0.0019927024841308594
BT,4,7069,0.06696009635925293
BT,4,962,0.012993812561035156
BT,4,2341,0.030982494354248047
BT,4,1542,0.010993003845214844
BT,5,18036,0.38112974166870117
BT,5,47967,0.3448319435119629
BT,5,49278,0.614495038986206
BT,5,39149,0.26384520530700684
